user_id,age,subscription_plan,monthly_watch_time_mins,country,favorite_genre,last_login_date,customer_support_tickets
16599,49,Básico,0.0,Colombia,Romance,2018-01-01,0
17526,48,Básico,266.3,Perú,Comedia,2018-01-01,0
16245,45,Básico,521.5,Uruguay,Acción,2018-01-01,1
15041,21,Básico,603.6,Argentina,Comedia,2018-01-01,0
10558,23,Básico,857.8,Uruguay,Crime,2018-01-02,0
16461,40,Básico,1020.5,Brasil,Romance,2018-01-03,1
10179,41,Básico,0.0,Chile,Thriller,2018-01-03,0
13652,34,Básico,672.2,Brasil,Thriller,2018-01-03,0
14193,28,Básico,658.3,Brasil,Crime,2018-01-03,0
17559,47,Premium,1001.1,Perú,Drama,2018-01-04,1
17900,43,Básico,845.5,Chile,Thriller,2018-01-04,0
13681,52,Estándar,1041.6,Perú,Crime,2018-01-05,0
11081,38,Básico,456.3,Chile,Drama,2018-01-05,1
13956,36,Básico,0.0,Uruguay,Crime,2018-01-06,0
17204,30,Premium,1055.4,México,Crime,2018-01-07,0
12024,40,Básico,566.9,Perú,Romance,2018-01-07,0
15070,28,Básico,1159.7,Perú,Acción,2018-01-09,1
13890,32,Estándar,691.9,Perú,Acción,2018-01-11,0
10977,18,Básico,801.8,Perú,Acción,2018-01-11,0
14886,45,Premium,1127.1,México,Thriller,2018-01-12,0
11455,26,Básico,733.7,Brasil,Thriller,2018-01-12,0
12770,19,Estándar,496.9,Perú,Romance,2018-01-13,1
17920,53,Básico,267.6,Brasil,Comedia,2018-01-14,2
12810,39,Estándar,2689.4,Argentina,Romance,2018-01-15,2
10420,45,Estándar,1464.1,Brasil,Thriller,2018-01-15,2
17084,26,Premium,952.5,Brasil,Documental,2018-01-15,0
14351,29,Premium,1425.7,Argentina,Acción,2018-01-16,0
17910,25,Básico,759.6,México,Thriller,2018-01-16,1
14772,32,Premium,1036.8,Chile,Comedia,2018-01-17,0
17333,41,Básico,40.0,Argentina,Crime,2018-01-17,1
15110,24,Básico,264.2,Chile,Comedia,2018-01-18,0
13418,23,Básico,493.3,Brasil,Documental,2018-01-19,0
14743,41,Básico,663.3,Uruguay,Drama,2018-01-20,1
15909,52,Estándar,852.3,Colombia,Comedia,2018-01-20,1
14761,48,Básico,775.9,Brasil,Romance,2018-01-20,3
15435,24,Estándar,861.4,Colombia,Documental,2018-01-21,0
13179,37,Básico,199.2,Uruguay,Romance,2018-01-22,0
15265,47,Estándar,282.0,Argentina,Drama,2018-01-24,4
17092,50,Básico,359.5,Colombia,Documental,2018-01-24,2
10681,31,Estándar,910.5,Brasil,Documental,2018-01-25,0
15393,38,Básico,697.6,México,Acción,2018-01-25,0
11613,22,Estándar,653.6,Uruguay,Comedia,2018-01-26,0
17232,40,Básico,716.3,Brasil,Documental,2018-01-26,0
13946,30,Básico,384.8,Argentina,Comedia,2018-01-27,1
16607,35,Básico,1037.7,Argentina,Romance,2018-01-27,1
10031,44,Básico,1122.4,Argentina,Documental,2018-01-27,1
15993,38,Estándar,459.3,Argentina,Acción,2018-01-28,1
12676,31,Estándar,1136.0,Colombia,Thriller,2018-01-28,1
15628,46,Premium,1080.8,Brasil,Romance,2018-01-28,1
13243,21,Estándar,772.3,Brasil,Comedia,2018-01-28,1
13035,20,Básico,203.1,Chile,Romance,2018-01-28,0
15774,24,Estándar ,889.0,Uruguay,Comedia,2018-01-30,4
10230,53,Estándar,954.0,México,Crime,2018-01-30,1
16262,26,Estándar,964.3,Perú,Drama,2018-01-30,0
15769,34,Básico,1016.4,Argentina,Crime,2018-01-30,1
14622,28,Premium,1365.8,Perú,Acción,2018-01-31,0
15349,34,Estándar,1334.5,Colombia,Thriller,2018-01-31,0
11681,34,Básico,234.2,Argentina,Acción,2018-02-01,0
13930,28,Básico,808.4,Colombia,Crime,2018-02-02,0
10390,27,Básico,824.1,Argentina,Thriller,2018-02-02,2
